Year,Age,Gender,People
2005,90,Male,3928.27
2006,90,Male,4369.01
1992,91,Male,1077.26
1993,91,Male,1141.03
1994,91,Male,1191.46
1995,91,Male,1234.67
1996,91,Male,1305.87
1997,91,Male,1416.44
1998,91,Male,1527.67
1999,91,Male,1613.22
2000,91,Male,1700.76
2001,91,Male,1835.5
2002,91,Male,2074.87
2003,91,Male,2312.28
2004,91,Male,2600.88
2005,91,Male,3048.24
2006,91,Male,3409.68
1992,92,Male,737.61
1993,92,Male,847.14
1994,92,Male,894.95
1995,92,Male,943.16
1996,92,Male,982.18
1997,92,Male,1041.57
1998,92,Male,1107.72
1999,92,Male,1198.86
2000,92,Male,1268.67
2001,92,Male,1335.02
2002,92,Male,1509.09
2003,92,Male,1696.02
2004,92,Male,1938.25
2005,92,Male,2184.12
2006,92,Male,2606.8
1992,93,Male,472.48
1993,93,Male,579.95
1994,93,Male,659.69
1995,93,Male,703.82
1996,93,Male,742.64
1997,93,Male,781.75
1998,93,Male,814.73
1999,93,Male,845.48
2000,93,Male,900.6
2001,93,Male,978.56
2002,93,Male,1072.03
2003,93,Male,1215.92
2004,93,Male,1395.96
2005,93,Male,1579.68
2006,93,Male,1834.87
1992,94,Male,324.87
1993,94,Male,354.59
1994,94,Male,451.36
1995,94,Male,509.41
1996,94,Male,530.57
1997,94,Male,579.13
1998,94,Male,588.12
1999,94,Male,596.25
2000,94,Male,612.66
2001,94,Male,680.12
2002,94,Male,757.21
2003,94,Male,845.57
2004,94,Male,963.19
2005,94,Male,1105.64
2006,94,Male,1293.87
1992,95,Male,238.12
1993,95,Male,237.74
1994,95,Male,270.43
1995,95,Male,350.03
1996,95,Male,374.3
1997,95,Male,392.46
1998,95,Male,405.6
1999,95,Male,432.59
2000,95,Male,420.97
2001,95,Male,449.93
2002,95,Male,510.24
2003,95,Male,571.42
2004,95,Male,644.78
2005,95,Male,741.62
2006,95,Male,877.1
1992,96,Male,171.12
1993,96,Male,181.31
1994,96,Male,178.43
1995,96,Male,206.62
1996,96,Male,257.44
1997,96,Male,283.29
1998,96,Male,270.76
1999,96,Male,305.08
2000,96,Male,295.46
2001,96,Male,303.34
2002,96,Male,331.25
2003,96,Male,377.45
2004,96,Male,431.1
2005,96,Male,493.41
2006,96,Male,578.78
1992,97,Male,96.83
1993,97,Male,128.6
1994,97,Male,125.87
1995,97,Male,131.11
1996,97,Male,152.78
1997,97,Male,193.91
1998,97,Male,199.05
1999,97,Male,195.09
2000,97,Male,196.25
2001,97,Male,197.21
2002,97,Male,221.15
2003,97,Male,235.78
2004,97,Male,287.56
2005,97,Male,316.49
2006,97,Male,373.13
1992,98,Male,66.92
1993,98,Male,70.12
1994,98,Male,86.64
1995,98,Male,89.75
1996,98,Male,98.06
1997,98,Male,110.4
1998,98,Male,134.51
1999,98,Male,134.36
2000,98,Male,121.27
2001,98,Male,119.16
2002,98,Male,138.26
2003,98,Male,154.25
2004,98,Male,178.66
2005,98,Male,193.41
2006,98,Male,235.93
1992,99,Male,49.05
1993,99,Male,45.92
1994,99,Male,47.6
1995,99,Male,61.32
1996,99,Male,63.18
1997,99,Male,72.85
1998,99,Male,71.94
1999,99,Male,86
2000,99,Male,79.78
2001,99,Male,77.76
2002,99,Male,79.21
2003,99,Male,100.37
2004,99,Male,105.9
2005,99,Male,120.32
2006,99,Male,143.35
1992,100,Male,29.25
1993,100,Male,31.34
1994,100,Male,30.01
1995,100,Male,33.29
1996,100,Male,40.86
1997,100,Male,44.84
1998,100,Male,47.49
1999,100,Male,42.87
2000,100,Male,49.53
2001,100,Male,48.15
2002,100,Male,48.14
2003,100,Male,56.56
2004,100,Male,61.46
2005,100,Male,69.72
2006,100,Male,80.6
1992,101,Male,16.59
1993,101,Male,18.01
1994,101,Male,25.1
1995,101,Male,22.46
1996,101,Male,25.83
1997,101,Male,27.07
1998,101,Male,30.5
1999,101,Male,28.14
2000,101,Male,24.31
2001,101,Male,26.65
2002,101,Male,27.27
2003,101,Male,33.37
2004,101,Male,33.91
2005,101,Male,38.35
2006,101,Male,44.18
1992,102,Male,14.85
1993,102,Male,8.7
1994,102,Male,13.46
1995,102,Male,17.1
1996,102,Male,17.25
1997,102,Male,16.04
1998,102,Male,15.85
1999,102,Male,18.71
2000,102,Male,13.02
2001,102,Male,14.76
2002,102,Male,15.65
2003,102,Male,16.49
2004,102,Male,20.71
2005,102,Male,21.25
2006,102,Male,24.25
1992,103,Male,11.98
1993,103,Male,9.5
1994,103,Male,4.8
1995,103,Male,9.33
1996,103,Male,11.2
1997,103,Male,12.01
1998,103,Male,8.59
1999,103,Male,9.73
2000,103,Male,10.04
2001,103,Male,6.46
2002,103,Male,9.98
2003,103,Male,8.32
2004,103,Male,10.39
2005,103,Male,12.93
2006,103,Male,12.47
1992,104,Male,5.93
1993,104,Male,7.98
1994,104,Male,5.95
1995,104,Male,4.35
1996,104,Male,6.54
1997,104,Male,8.76
1998,104,Male,6.8
1999,104,Male,5.03
2000,104,Male,5.95
2001,104,Male,4.71
2002,104,Male,5.13
2003,104,Male,5.65
2004,104,Male,5.32
2005,104,Male,7.17
2006,104,Male,7.6
1992,105,Male,2.2
1993,105,Male,3.56
1994,105,Male,4.27
1995,105,Male,4.71
1996,105,Male,2.72
1997,105,Male,4.46
1998,105,Male,3.95
1999,105,Male,3.31
2000,105,Male,2.21
2001,105,Male,3.23
2002,105,Male,2.79
2003,105,Male,2.6
2004,105,Male,3.2
2005,105,Male,2.86
2006,105,Male,4.1
1992,106,Male,0.75
1993,106,Male,1.77
1994,106,Male,1.7
1995,106,Male,2.27
1996,106,Male,1.68
1997,106,Male,1.56
1998,106,Male,2.18
1999,106,Male,1.56
2000,106,Male,0.64
2001,106,Male,1.15
2002,106,Male,0.93
2003,106,Male,0.93
2004,106,Male,1.21
2005,106,Male,0.87
2006,106,Male,1.02
1992,107,Male,0.26
1993,107,Male,0.75
1994,107,Male,0.58
1995,107,Male,0.94
1996,107,Male,0
1997,107,Male,1.03
1998,107,Male,0.56
1999,107,Male,0.84
2000,107,Male,0
2001,107,Male,0.64
2002,107,Male,0
2003,107,Male,0
2004,107,Male,0.43
2005,107,Male,0
2006,107,Male,0
1992,108,Male,0
1993,108,Male,0.26
1994,108,Male,0
1995,108,Male,0.58
1996,108,Male,0
1997,108,Male,0
1998,108,Male,0
1999,108,Male,0
2000,108,Male,0
2001,108,Male,0
2002,108,Male,0
2003,108,Male,0
2004,108,Male,0
2005,108,Male,0
2006,108,Male,0
1992,109,Male,0
1993,109,Male,0
1994,109,Male,0
1995,109,Male,0
1996,109,Male,0
1997,109,Male,0
1998,109,Male,0
1999,109,Male,0
2000,109,Male,0
2001,109,Male,0
2002,109,Male,0
2003,109,Male,0
2004,109,Male,0
2005,109,Male,0
2006,109,Male,0
1992,110+,Male,0
1993,110+,Male,0
1994,110+,Male,0
1995,110+,Male,0
1996,110+,Male,0
1997,110+,Male,0
1998,110+,Male,0
1999,110+,Male,0
2000,110+,Male,0
2001,110+,Male,0
2002,110+,Male,0
2003,110+,Male,0
2004,110+,Male,0
2005,110+,Male,0
2006,110+,Male,0
1992,64,Total,80336.73
1993,64,Total,80433.46
1994,64,Total,89802.47
1995,64,Total,80756.04
1996,64,Total,82934.52
1997,64,Total,79259.55
1998,64,Total,77794.32
1999,64,Total,81132.15
2000,64,Total,82699.65
2001,64,Total,94219.41
2002,64,Total,92168.63
2003,64,Total,90924.23
2004,64,Total,103062.44
2005,64,Total,95476.11
2006,64,Total,103392.15
1992,65,Total,75435.9
1993,65,Total,78774.21
1994,65,Total,79072.21
1995,65,Total,88456.12
1996,65,Total,79494.43
1997,65,Total,81369.85
1998,65,Total,77613.74
1999,65,Total,76109.05
2000,65,Total,80127.06
2001,65,Total,81568.9
2002,65,Total,94230.87
2003,65,Total,91114.02
2004,65,Total,89625.1
2005,65,Total,101689.09
2006,65,Total,94075.96
1992,66,Total,62932.61
1993,66,Total,73762.87
1994,66,Total,76980.3
1995,66,Total,77702.18
1996,66,Total,86918.72
1997,66,Total,78123.61
1998,66,Total,79844.96
1999,66,Total,75916.2
2000,66,Total,74332.87
2001,66,Total,79111.53
2002,66,Total,80274.53
2003,66,Total,93259.65
2004,66,Total,89765.98
2005,66,Total,88234.32
2006,66,Total,100249.28
1992,67,Total,60195.5
1993,67,Total,61588.31
1994,67,Total,71803.92
1995,67,Total,75121.76
1996,67,Total,76128.07
1997,67,Total,85305.61
1998,67,Total,76769.25
1999,67,Total,78282.86
2000,67,Total,74109.06
2001,67,Total,72537.57
2002,67,Total,77976.55
2003,67,Total,78868.62
2004,67,Total,91795.67
2005,67,Total,88325.54
2006,67,Total,86772.46
1992,68,Total,53536.14
1993,68,Total,58755.45
1994,68,Total,60158.96
1995,68,Total,69771.62
1996,68,Total,73169.77
1997,68,Total,74551.84
1998,68,Total,83623.22
1999,68,Total,75374.8
2000,68,Total,76600.63
2001,68,Total,72205.24
2002,68,Total,70646.91
2003,68,Total,76595.95
2004,68,Total,77337.06
2005,68,Total,90277.34
2006,68,Total,86796.9
1992,69,Total,49828.98
1993,69,Total,52363.27
1994,69,Total,57226.49
1995,69,Total,58651.2
1996,69,Total,67671.21
1997,69,Total,71154.9
1998,69,Total,72915.79
1999,69,Total,81889.1
2000,69,Total,73865.74
2001,69,Total,74839.7
2002,69,Total,70179.23
2003,69,Total,68947.28
2004,69,Total,75061.32
2005,69,Total,75758.99
2006,69,Total,88694.14
1992,70,Total,50951.92
1993,70,Total,48478.69
1994,70,Total,51233.47
1995,70,Total,55633.96
1996,70,Total,57014.11
1997,70,Total,65488.46
1998,70,Total,69056.64
1999,70,Total,71190.18
2000,70,Total,80035.98
2001,70,Total,72339.33
2002,70,Total,72883.88
2003,70,Total,68365.45
2004,70,Total,67324.46
2005,70,Total,73409.64
2006,70,Total,74133.48
1992,71,Total,45815.59
1993,71,Total,49412.5
1994,71,Total,47143.68
1995,71,Total,50054.75
1996,71,Total,53893.33
1997,71,Total,55307.51
1998,71,Total,63270.15
1999,71,Total,66860.06
2000,71,Total,69364.7
2001,71,Total,78204.33
2002,71,Total,70600.3
2003,71,Total,70984.81
2004,71,Total,66584.58
2005,71,Total,65552.32
2006,71,Total,71676.21
1992,72,Total,49019.3
1993,72,Total,44245.91
1994,72,Total,47838.03
1995,72,Total,45729.22
1996,72,Total,48733.04
1997,72,Total,52049.73
1998,72,Total,53646.51
1999,72,Total,60939.95
2000,72,Total,64565.16
2001,72,Total,67523.63
2002,72,Total,76204.05
2003,72,Total,68584.28
2004,72,Total,69086.54
2005,72,Total,64645.26
2006,72,Total,63709.22
1992,73,Total,41337.08
1993,73,Total,47218.23
1994,73,Total,42639.75
1995,73,Total,46227.27
1996,73,Total,44229.12
1997,73,Total,47353.66
1998,73,Total,50236.61
1999,73,Total,51868.47
2000,73,Total,58533.64
2001,73,Total,62250.57
2002,73,Total,65530.21
2003,73,Total,74069.77
2004,73,Total,66429.18
2005,73,Total,67023.86
2006,73,Total,62687.72
1992,74,Total,40039.64
1993,74,Total,39673.31
1994,74,Total,45305.73
1995,74,Total,41037.45
1996,74,Total,44467.83
1997,74,Total,42698.25
1998,74,Total,45965.91
1999,74,Total,48338.56
2000,74,Total,50061.62
2001,74,Total,56155.24
2002,74,Total,59910.29
2003,74,Total,63343.09
2004,74,Total,71839.77
2005,74,Total,64123.42
2006,74,Total,64933.97
1992,75,Total,38523.35
1993,75,Total,38325.44
1994,75,Total,37919.79
1995,75,Total,43395.04
1996,75,Total,39286.19
1997,75,Total,42708.48
1998,75,Total,41139.58
1999,75,Total,44451.55
2000,75,Total,46399.8
2001,75,Total,48245.5
2002,75,Total,53724.88
2003,75,Total,57658.48
2004,75,Total,61039.9
2005,75,Total,69538.52
2006,75,Total,61685.71
1992,76,Total,34897.29
1993,76,Total,36686.79
1994,76,Total,36491.05
1995,76,Total,36210.99
1996,76,Total,41399.48
1997,76,Total,37527.39
1998,76,Total,40965.46
1999,76,Total,39415.75
2000,76,Total,42899.5
2001,76,Total,44422.99
2002,76,Total,46320.85
2003,76,Total,51542.12
2004,76,Total,55389.95
2005,76,Total,58645.75
2006,76,Total,67087.31
1992,77,Total,32305.06
1993,77,Total,33164.67
1994,77,Total,34776.08
1995,77,Total,34828.75
1996,77,Total,34456.16
1997,77,Total,39381.61
1998,77,Total,35800.85
1999,77,Total,39115.02
2000,77,Total,37654.16
2001,77,Total,41353.74
2002,77,Total,42389.68
2003,77,Total,44288.13
2004,77,Total,49430.77
2005,77,Total,53030.69
2006,77,Total,56166.61
1992,78,Total,31265.46
1993,78,Total,30540.45
1994,78,Total,31448.03
1995,78,Total,32997.15
1996,78,Total,33044.54
1997,78,Total,32610.19
1998,78,Total,37333.35
1999,78,Total,33956.58
2000,78,Total,37160.53
2001,78,Total,35901.29
2002,78,Total,39728.7
2003,78,Total,40283.06
2004,78,Total,42171.96
2005,78,Total,47258.64
2006,78,Total,50551.59
1992,79,Total,27236.94
1993,79,Total,29336.59
1994,79,Total,28784.93
1995,79,Total,29726.44
1996,79,Total,31034.3
1997,79,Total,31122.58
1998,79,Total,30856.79
1999,79,Total,35187.15
2000,79,Total,31995.18
2001,79,Total,35249.37
2002,79,Total,34083.12
2003,79,Total,37804.75
2004,79,Total,38124.89
2005,79,Total,39908.73
2006,79,Total,44969.44
1992,80,Total,26328.67
1993,80,Total,27588.58
1994,80,Total,29830.92
1995,80,Total,30287.93
1996,80,Total,30950.25
1997,80,Total,29053.69
1998,80,Total,29380.63
1999,80,Total,28933.17
2000,80,Total,32927.3
2001,80,Total,30173.93
2002,80,Total,33227.6
2003,80,Total,32124.28
2004,80,Total,35611.37
2005,80,Total,35782.19
2006,80,Total,37614.24
1992,81,Total,23449.68
1993,81,Total,24428
1994,81,Total,25626.21
1995,81,Total,27765.58
1996,81,Total,28246.24
1997,81,Total,28928.5
1998,81,Total,27123.25
1999,81,Total,27457.69
2000,81,Total,26932.11
2001,81,Total,30854.74
2002,81,Total,28240.43
2003,81,Total,31168.17
2004,81,Total,29959.04
2005,81,Total,33348.47
2006,81,Total,33477.04
1992,82,Total,20248.29
1993,82,Total,21543.61
1994,82,Total,22457.54
1995,82,Total,23751.9
1996,82,Total,25687.43
1997,82,Total,26219.73
1998,82,Total,26901.3
1999,82,Total,25167.62
2000,82,Total,25413.63
2001,82,Total,25138.27
2002,82,Total,28696.31
2003,82,Total,26210.98
2004,82,Total,29017.36
2005,82,Total,27768.5
2006,82,Total,31096.9
1992,83,Total,17478.84
1993,83,Total,18428.09
1994,83,Total,19549.36
1995,83,Total,20600.34
1996,83,Total,21792.07
1997,83,Total,23649.75
1998,83,Total,24214.04
1999,83,Total,24910.92
2000,83,Total,23039.07
2001,83,Total,23615.67
2002,83,Total,23208.1
2003,83,Total,26630.59
2004,83,Total,24040
2005,83,Total,26799
2006,83,Total,25538.49
1992,84,Total,15113.28
1993,84,Total,15750.01
1994,84,Total,16614.29
1995,84,Total,17749.89
1996,84,Total,18732.25
1997,84,Total,19836.08
1998,84,Total,21666.5
1999,84,Total,22214.35
2000,84,Total,22775.35
2001,84,Total,21170.27
2002,84,Total,21747.76
2003,84,Total,21293.35
2004,84,Total,24571.74
2005,84,Total,21886.69
2006,84,Total,24582.65
1992,85,Total,12964.1
1993,85,Total,13503.58
1994,85,Total,14069.57
1995,85,Total,14956.33
1996,85,Total,15951.3
1997,85,Total,16815.19
1998,85,Total,17886.56
1999,85,Total,19646.11
2000,85,Total,20083.91
2001,85,Total,20882.87
2002,85,Total,19275.39
2003,85,Total,19841.26
2004,85,Total,19334.96
2005,85,Total,22551.37
2006,85,Total,19747.57
1992,86,Total,10710.96
1993,86,Total,11474.31
1994,86,Total,11908.28
1995,86,Total,12511.23
1996,86,Total,13303.74
1997,86,Total,14201.38
1998,86,Total,14999.89
1999,86,Total,15998.83
2000,86,Total,17561.61
2001,86,Total,18213.49
2002,86,Total,18987.12
2003,86,Total,17410.99
2004,86,Total,17888.94
2005,86,Total,17324.69
2006,86,Total,20574.84
1992,87,Total,8728.12
1993,87,Total,9354.94
1994,87,Total,10012.06
1995,87,Total,10463.53
1996,87,Total,10993.8
1997,87,Total,11755.35
1998,87,Total,12546.08
1999,87,Total,13199.67
2000,87,Total,14082.09
2001,87,Total,15723.08
2002,87,Total,16363.17
2003,87,Total,17235.72
2004,87,Total,15527.85
2005,87,Total,15864.22
2006,87,Total,15405.83
1992,88,Total,7176.08
1993,88,Total,7533.34
1994,88,Total,8090.15
1995,88,Total,8704.4
1996,88,Total,9080.78
1997,88,Total,9564.51
1998,88,Total,10231.43
1999,88,Total,10868.29
2000,88,Total,11435.36
2001,88,Total,12422.89
2002,88,Total,13944.66
2003,88,Total,14685.33
2004,88,Total,15500.55
2005,88,Total,13592.21
2006,88,Total,13928.41
1992,89,Total,5814.16
1993,89,Total,6118.97
1994,89,Total,6382.79
1995,89,Total,6924.44
1996,89,Total,7481.39
1997,89,Total,7797.5
1998,89,Total,8204.28
1999,89,Total,8736.65
2000,89,Total,9286.07
2001,89,Total,9923.89
2002,89,Total,10828.77
2003,89,Total,12340.89
2004,89,Total,12998.12
2005,89,Total,13708.88
2006,89,Total,11797.02
1992,90,Total,4638.34
1993,90,Total,4885.49
1994,90,Total,5078.04
1995,90,Total,5372.5
1996,90,Total,5870.84
1997,90,Total,6344.42
1998,90,Total,6567.67
1999,90,Total,6856.02
2000,90,Total,7338.95
2001,90,Total,7898.1
2002,90,Total,8523.1
2003,90,Total,9452.05
2004,90,Total,10724.89
2005,90,Total,11336.95
2006,90,Total,12086.46
1992,91,Total,3612.77
1993,91,Total,3812.39
1994,91,Total,4029.55
1995,91,Total,4224.63
1996,91,Total,4464.3
1997,91,Total,4928.96
1998,91,Total,5255.29
1999,91,Total,5390.03
2000,91,Total,5654.84
2001,91,Total,6137.75
2002,91,Total,6690.22
2003,91,Total,7312.85
2004,91,Total,8090.12
2005,91,Total,9216.28
2006,91,Total,9851.25
1992,92,Total,2586.79
1993,92,Total,2930.26
1994,92,Total,3077.92
1995,92,Total,3298.66
1996,92,Total,3449.62
1997,92,Total,3671.73
1998,92,Total,4002.35
1999,92,Total,4246.45
2000,92,Total,4351.45
2001,92,Total,4642.67
2002,92,Total,5079.58
2003,92,Total,5622.75
2004,92,Total,6163.62
2005,92,Total,6831.22
2006,92,Total,7878.62
1992,93,Total,1822
1993,93,Total,2073.53
1994,93,Total,2329.02
1995,93,Total,2495.64
1996,93,Total,2659.46
1997,93,Total,2793
1998,93,Total,2953.81
1999,93,Total,3186.03
2000,93,Total,3339.99
2001,93,Total,3485.45
2002,93,Total,3751.15
2003,93,Total,4210.89
2004,93,Total,4669.55
2005,93,Total,5083.25
2006,93,Total,5731.03
1992,94,Total,1350.3
1993,94,Total,1423.88
1994,94,Total,1637.16
1995,94,Total,1859.79
1996,94,Total,1976.08
1997,94,Total,2128.54
1998,94,Total,2172.01
1999,94,Total,2299.73
2000,94,Total,2444.29
2001,94,Total,2613.58
2002,94,Total,2745
2003,94,Total,3026.97
2004,94,Total,3408.95
2005,94,Total,3748.75
2006,94,Total,4163.99
1992,95,Total,987.04
1993,95,Total,1035.62
1994,95,Total,1093.5
1995,95,Total,1283.53
1996,95,Total,1450.84
1997,95,Total,1534.56
1998,95,Total,1572.18
1999,95,Total,1643.95
2000,95,Total,1709.52
2001,95,Total,1873.14
2002,95,Total,2027.97
2003,95,Total,2142.3
2004,95,Total,2383.61
2005,95,Total,2666.77
2006,95,Total,2994.12
1992,96,Total,699.78
1993,96,Total,732.45
1994,96,Total,783.81
1995,96,Total,837.39
1996,96,Total,999.47
1997,96,Total,1121.64
1998,96,Total,1142.2
1999,96,Total,1186.16
2000,96,Total,1195.14
2001,96,Total,1278.39
2002,96,Total,1432.83
2003,96,Total,1549.06
2004,96,Total,1648.84
2005,96,Total,1850.78
2006,96,Total,2100.73
1992,97,Total,460.52
1993,97,Total,509.8
1994,97,Total,540.62
1995,97,Total,596.81
1996,97,Total,635.88
1997,97,Total,769.09
1998,97,Total,842.44
1999,97,Total,843.22
2000,97,Total,834.12
2001,97,Total,843.63
2002,97,Total,955.08
2003,97,Total,1068.29
2004,97,Total,1180.02
2005,97,Total,1257.36
2006,97,Total,1422.25
1992,98,Total,304.65
1993,98,Total,338.1
1994,98,Total,367.62
1995,98,Total,414.12
1996,98,Total,436.26
1997,98,Total,467.56
1998,98,Total,563.21
1999,98,Total,613.09
2000,98,Total,568.4
2001,98,Total,563.47
2002,98,Total,616.81
2003,98,Total,701.94
2004,98,Total,803.34
2005,98,Total,851.6
2006,98,Total,943.88
1992,99,Total,203.73
1993,99,Total,216.38
1994,99,Total,235.55
1995,99,Total,273.02
1996,99,Total,299.14
1997,99,Total,319.91
1998,99,Total,327.57
1999,99,Total,390.13
2000,99,Total,410.33
2001,99,Total,386.98
2002,99,Total,401.04
2003,99,Total,447.45
2004,99,Total,490.61
2005,99,Total,569.03
2006,99,Total,625.82
1992,100,Total,130.46
1993,100,Total,135.61
1994,100,Total,145.64
1995,100,Total,164.57
1996,100,Total,194.22
1997,100,Total,221.34
1998,100,Total,215.25
1999,100,Total,203.38
2000,100,Total,247.03
2001,100,Total,259.73
2002,100,Total,264.7
2003,100,Total,282.65
2004,100,Total,298.57
2005,100,Total,336.35
2006,100,Total,394.85
1992,101,Total,84.42
1993,101,Total,85.06
1994,101,Total,94.3
1995,101,Total,100.34
1996,101,Total,115.39
1997,101,Total,143.17
1998,101,Total,149.67
1999,101,Total,135.99
2000,101,Total,126.13
2001,101,Total,147.42
2002,101,Total,168.73
2003,101,Total,184.48
2004,101,Total,186.27
2005,101,Total,195.44
2006,101,Total,231.77
1992,102,Total,60.4
1993,102,Total,53.53
1994,102,Total,59.14
1995,102,Total,67.02
1996,102,Total,70.25
1997,102,Total,80.39
1998,102,Total,91.71
1999,102,Total,98.01
2000,102,Total,82.41
2001,102,Total,81.64
2002,102,Total,93.92
2003,102,Total,109.5
2004,102,Total,116.61
2005,102,Total,122.22
2006,102,Total,130.7
1992,103,Total,38.23
1993,103,Total,41.28
1994,103,Total,38.32
1995,103,Total,41.31
1996,103,Total,44.2
1997,103,Total,48.96
1998,103,Total,51.24
1999,103,Total,60.72
2000,103,Total,61.64
2001,103,Total,49.57
2002,103,Total,54.76
2003,103,Total,55.59
2004,103,Total,72.29
2005,103,Total,72.64
2006,103,Total,75.61
1992,104,Total,23.54
1993,104,Total,25.38
1994,104,Total,27.65
1995,104,Total,25.11
1996,104,Total,28.47
1997,104,Total,32.38
1998,104,Total,30.75
1999,104,Total,33.47
2000,104,Total,39.02
2001,104,Total,33.4
2002,104,Total,35.13
2003,104,Total,31.06
2004,104,Total,37.67
2005,104,Total,45.87
2006,104,Total,47.31
1992,105,Total,13.35
1993,105,Total,13.98
1994,105,Total,14.67
1995,105,Total,17.64
1996,105,Total,17.17
1997,105,Total,18.87
1998,105,Total,16.44
1999,105,Total,18.35
2000,105,Total,18.63
2001,105,Total,19.91
2002,105,Total,21.5
2003,105,Total,18.76
2004,105,Total,18.62
2005,105,Total,23.53
2006,105,Total,28.77
1992,106,Total,6.78
1993,106,Total,7.31
1994,106,Total,9.04
1995,106,Total,7.77
1996,106,Total,9.27
1997,106,Total,10.16
1998,106,Total,9.1
1999,106,Total,9.2
2000,106,Total,9.97
2001,106,Total,9.33
2002,106,Total,10.3
2003,106,Total,10.52
2004,106,Total,9.29
2005,106,Total,10.52
2006,106,Total,12.6
1992,107,Total,3.4
1993,107,Total,3.33
1994,107,Total,4.39
1995,107,Total,4.65
1996,107,Total,2.91
1997,107,Total,5.28
1998,107,Total,4.17
1999,107,Total,4.97
2000,107,Total,4.6
2001,107,Total,5.04
2002,107,Total,4.27
2003,107,Total,4.39
2004,107,Total,4.7
2005,107,Total,4.86
2006,107,Total,4.97
1992,108,Total,1.22
1993,108,Total,1.32
1994,108,Total,1.62
1995,108,Total,2.17
1996,108,Total,1.94
1997,108,Total,1.33
1998,108,Total,1.42
1999,108,Total,1.95
2000,108,Total,2.42
2001,108,Total,1.9
2002,108,Total,2.21
2003,108,Total,1.59
2004,108,Total,1.71
2005,108,Total,2.3
2006,108,Total,2.23
1992,109,Total,0.7
1993,109,Total,0
1994,109,Total,0.77
1995,109,Total,0.31
1996,109,Total,0.61
1997,109,Total,0.89
1998,109,Total,0
1999,109,Total,0.58
2000,109,Total,0.95
2001,109,Total,0.86
2002,109,Total,0.78
2003,109,Total,0.7
2004,109,Total,0.25
2005,109,Total,0.78
2006,109,Total,0.67
1992,110+,Total,0
1993,110+,Total,0
1994,110+,Total,0
1995,110+,Total,0
1996,110+,Total,0
1997,110+,Total,0.28
1998,110+,Total,0
1999,110+,Total,0
2000,110+,Total,0.28
2001,110+,Total,0
2002,110+,Total,0.25
2003,110+,Total,0
2004,110+,Total,0
2005,110+,Total,0
2006,110+,Total,0
